,Unnamed: 0,Unnamed: 0.1,date,location,rest_name,review,stars,username
0,0.0,,2016-08-12,"Washington, DC",Flight Wine Bar,"I only go here when friends invite me so I have no choice in the location. I ordered the Blue Cheese Gnocchi for $20 and got the smallest portion. I thought they gave me the happy hour portion, but no I'd hate to see how small that portion is. I was expecting a creamy cheesy sauce, no the gnocchi came in a brown broth that only had a hint of blue cheese flavor. The mushrooms were few and far between. The dish had a lot of potential with all the flavors, but it was just too boring/plain.
",2.0,/user_details?userid=B6XnI51fVXXQGK5e2Xg2Ew
1,1.0,,2015-11-25,"Fairfax, VA",Flight Wine Bar,"I won't lie, the main reason I came here other than wine was to check out the hip and modern looking bar that is in the center of this cozy wine spot! That being said, I was not let down, being a sucker for how atmosphere adds to the overall experience of a restaurant/bar, this place did not disappoint. This is a neighbourhood wine bar that explores wines from all over the world, think places like ""World of Beer"" except with wine. It's a great place to get what it's name says; flights, and to explore lesser known wines you may not have tried from various regions. The wine menu is extensive and you can get them either by the glass or pick from various pre made flights broken down by their types and where they came from. I've tried many from the few times I've been here and have not been disappointed. They also have a small food menu ranging with item small bites items to dinner entrees and I although I have not eaten the dinner I did snag a few smaller items (get the Italian meatballs, trust me). 

Flight Wine Bar can be perfect for almost any occasion; dinner, happy hour, date night, etc. It was never too busy the few times I went and the staff is great!
",4.0,/user_details?userid=m1ezRFAwPR4RiMuM9cP7CA
2,2.0,,2016-07-10,"Washington, DC",Flight Wine Bar,"I like Flight as an HH option for anyone who wants a glass of wine and good conversation in a more relaxed environment. The food is decent, but a little pricey and not the most memorable.
",3.0,/user_details?userid=tBfYn6423tySGhACZ2TKjA
3,3.0,,2015-05-02,"Washington, DC",Flight Wine Bar,"As soon as you walk into this intimate aka small space you feel like you're walking into the basement of a cozy and stylish bar. There are various options for wine choices and as the name of the place suggests, you can do a flight which is nice because you can try and compare 3 wines side by side and go from there. Since my friend and I came here to unwind solely with glasses of vino before venturing off to dinner at Daikaya nearby, I can't speak of their food menu. My server wasn't very present during my time here but it's not reason enough for me not to be back. Looking forward to more visits here.
",4.0,/user_details?userid=xNgLuYWfOItxauTMJUCzXg
4,4.0,,2014-11-28,"Jersey City, NJ",Flight Wine Bar,"My husband and I don't often get out for date night, much less a weekend away from the kiddos, so when we do manage to get away for a romantic evening, we want to make sure the everything is perfect.  Flight wine bar was exactly what we were looking for!

This gem is a triple threat: great wine, great food, and great ambiance!

The wine menu is impressive (size, variety, price range), and I loved having the ability to try a variety of wines.  I really loved the wine flights and think they would be enjoyed both by the wine enthusiast as well as a newbie that doesn't know what to order.

The food was so much fun!  I am a sucker for a good cheese plate and this place offers two varieties!!!  Savory AND sweet!  Oh, how sweet it was.  Definitely get the cheese plate.  The chocolate one was my favorite.  And the wild mushrooms!  Get those too!

The ambiance was a treat.  You can tell that a lot of thought went into the design and decor of Flight Win Bar.  When my husband and I walked in the door we immediately felt like we were on date night, rather than needing our normal glass of wine just to relax.
",5.0,/user_details?userid=FpGTJKxIqbYmWkWb9v691A
5,5.0,,2016-06-29,"San Juan, Puerto Rico",Flight Wine Bar,"What a Great Find! A fun, hip, youthful energy kinda place.... Great service... Very knowledgable... Great wines... Wonderful well spiced food....  Very fair prices... With a Great Happy Hour!!!!!!! Don't miss this gem!!!
",5.0,/user_details?userid=uSWEtjOZyN_lkJ8J_pXqyQ
6,6.0,,2014-10-20,"Providence, RI",Flight Wine Bar,"Flight was a solid choice for decent happy hour pricing and wine selection. Being one of a kind in Chinatown also gives it the upper hand when it comes to the bar selection in that neighborhood. The decor is trendy and I loved the bottle display at the bar. 

Here's where flight fell short for me. I LOVE wine. LOVE it. I'm not a connoisseur by any means but I know what I like and know what service at a wine bar should be. Ours was definitely lacking. We weren't sure who our server actually was which would have been fine had we not needed to practically tackle a server to take our order or refill waters. 

The appetizers are definitely over priced but at $7 a glass for happy hour wines, it kind of evens out. Kind of. When you have a $16 cheese plate on your menu that could generously be described as sparse, the least you could do is serve my wine to me in stemware and not some hipster rocks glass. 

Flight has so much potential but I'd rather pay $9/glass elsewhere for better pours served alongside better food.
",3.0,/user_details?userid=CAa5POjQrR-kyAotfyLrkg
7,7.0,,2016-05-16,"Alexandria, VA",Flight Wine Bar,"Very cute wine bar in Chinatown. It's small but very cozy atmosphere. I was impressed with the amount of wines they have on the menu. So many choices! Although I wished they had more ""small plate"" items on the menu to munch on while we were getting drinks. They had a few items on the food menu but nothing I was interested in.
",4.0,/user_details?userid=7GbIIpGAEIhm0GHgmyUHSA
8,8.0,,2016-07-03,"Arlington, VA",Flight Wine Bar,"Flight continues to be my go-to in Chinatown. It's a neighborhood gem. I'm a fan of their extensive wine list, interesting flights and super helpful, knowledgeable staff.  (Shout-outs to Rob and Fiona!) They always have something new and seasonal to try -- and some year-round stand-bys that I love (try to Portuguieser). They've seriously upped the food game in last year: all the house-made pastas are winners. And the house-made sausage board is great for sharing.  Bonus: first-come first-serve outdoor seating.
",5.0,/user_details?userid=gb0jOaJVsPxDJ2GtkPiCHQ
9,9.0,,2017-02-10,"Falls Church, VA",Flight Wine Bar,"Great experience. Great food, great wine, and server was helpful and accommodated nutrition boundaries. Wine is served either by the bottle or as a 3-wine flight. Great way to learn about and compare wines. Went on a Wednesday night - half-full, was quieter than the rest of Chinatown, didn't need a reservation.
",5.0,/user_details?userid=g-u99fEiKjNV6zqL3Hrd2w
