,0
0,https://www.yelp.com/biz/flight-wine-bar-washington
1,https://www.yelp.com/biz/flight-wine-bar-washington?start=20
2,https://www.yelp.com/biz/flight-wine-bar-washington?start=40
3,https://www.yelp.com/biz/flight-wine-bar-washington?start=60
4,https://www.yelp.com/biz/flight-wine-bar-washington?start=80
5,https://www.yelp.com/biz/flight-wine-bar-washington?start=100
6,https://www.yelp.com/biz/flight-wine-bar-washington?start=120
7,https://www.yelp.com/biz/flight-wine-bar-washington?start=140
8,https://www.yelp.com/biz/flight-wine-bar-washington?start=160
9,https://www.yelp.com/biz/flight-wine-bar-washington?start=180
10,https://www.yelp.com/biz/bin-1301-wine-bar-washington
11,https://www.yelp.com/biz/bin-1301-wine-bar-washington?start=20
12,https://www.yelp.com/biz/bin-1301-wine-bar-washington?start=40
13,https://www.yelp.com/biz/bar-a-vin-washington
14,https://www.yelp.com/biz/bar-a-vin-washington?start=20
15,https://www.yelp.com/biz/eno-wine-bar-washington-2
16,https://www.yelp.com/biz/eno-wine-bar-washington-2?start=20
17,https://www.yelp.com/biz/eno-wine-bar-washington-2?start=40
18,https://www.yelp.com/biz/eno-wine-bar-washington-2?start=60
19,https://www.yelp.com/biz/eno-wine-bar-washington-2?start=80
20,https://www.yelp.com/biz/eno-wine-bar-washington-2?start=100
21,https://www.yelp.com/biz/eno-wine-bar-washington-2?start=120
22,https://www.yelp.com/biz/la-jambe-washington
23,https://www.yelp.com/biz/la-jambe-washington?start=20
24,https://www.yelp.com/biz/la-jambe-washington?start=40
25,https://www.yelp.com/biz/la-jambe-washington?start=60
26,https://www.yelp.com/biz/the-pursuit-wine-bar-washington
27,https://www.yelp.com/biz/the-pursuit-wine-bar-washington?start=20
28,https://www.yelp.com/biz/the-pursuit-wine-bar-washington?start=40
29,https://www.yelp.com/biz/the-pursuit-wine-bar-washington?start=60
30,https://www.yelp.com/biz/the-pursuit-wine-bar-washington?start=80
31,https://www.yelp.com/biz/the-pursuit-wine-bar-washington?start=100
32,https://www.yelp.com/biz/the-pursuit-wine-bar-washington?start=120
33,https://www.yelp.com/biz/the-pursuit-wine-bar-washington?start=140
34,https://www.yelp.com/biz/barcelona-wine-bar-washington
35,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=20
36,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=40
37,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=60
38,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=80
39,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=100
40,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=120
41,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=140
42,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=160
43,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=180
44,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=200
45,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=220
46,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=240
47,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=260
48,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=280
49,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=300
50,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=320
51,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=340
52,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=360
53,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=380
54,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=400
55,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=420
56,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=440
57,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=460
58,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=480
59,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=500
60,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=520
61,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=540
62,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=560
63,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=580
64,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=600
65,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=620
66,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=640
