,rest_name,username,review,stars,date,location,repeat,dmv
12,La Jambe,/user_details?userid=RD-De1dJS5Y76bMvt7l5YQ,"I had the chance to check out La Jambe during happy hour one week and while it's very small and intimate inside, it has such a cute, Parisian feel to it. They have great happy hour wine specials for $5; Rose is delightful. We also did the medium size cheese & charcuterie board, which was decent, but probably a bit too expensive for what you received. Service was cool and prompt and it is a definitely an impressive place to take a date because it is cozy and not too loud. It was pretty dead though the entire time we were there so time will tell how long this place lasts.
",3,1/25/2017,"Alexandria, VA",False,True
21,La Jambe,/user_details?userid=92ElbC5mrg2dLvmE9CigHA,"Most of the seating is at the bar so if your party is larger than 2-3, you may have trouble finding a table. I got there at 6pm on a Wednesday and it was pretty empty but it filled up soon after. 

Pros
The white wine on happy hour is divine and only $5
Extensive wine list 
Wonderful Ambiance
Seasonal cocktails

Con
Baguette bread used for sandwiches and for the bread bowl was a too hard to enjoy 
Limited seating

I ordered two appetizers - the picholines olives and the pork rilettes. The waitress described the rilletes as a spread so I was surprised to find that it was chunky and completely un-spreadable. Taste was bland. The baguette slices were too hard but the crackers paired well with it. Olives were tasty. My friend ordered the noisette sandwich and agreed the baguette was far too hard.
",3,2/16/2017,"Washington, DC",False,True
62,La Jambe,/user_details?userid=dsGUpb4FqQd-dWzUMiaOAA,"Went for after dinner drinks.  While I did not love my cocktail (didn't hate it either) the atmosphere was lovely.  Good wine selection and great looking snakes/food.
",3,11/10/2016,"Arlington, VA",False,True
81,ENO Wine Bar,/user_details?userid=CSD0kX0sil57smYaouKE8w,"I liked the vibe - that was a definite plus.  The upstairs loft is where we sat and we got to look out the windows onto Georgetown in our cute little chairs and tables.  The bad - we had three waiters/waitresses serve us while we there for a relatively short time.  I almost wonder if the first decided he didn't want to serve us.  I told him it was my birthday when he first came over, and then I asked if he had any ""rose"" flavored wines since I love rose anything.  No, NOT Rose with the apostropher above the E, rose like the flower.  Is this really such a weird question?  I had an awesome ROSE wine at Match and I wanted to see if they had anyting similiar.  He looked at me like I was crazy and then we had a waitress serving us.....  I got the feeling we were not good enough.  They have a small food menu which is nice I guess - not large by any means.  But the truffle mac and cheese was decent, and the chocolate fondue was tasty (but small).  And to get the pound cake, it's an extra $5 (what?!).  They had plenty of wine flights, which was cool since I like variety in my flights.  And the pre-chosen factor made it easy for me.  The rest of the menu is definitely long, and you should know what you're doing wine wise if you want to make it through.  Also, they checked our IDs like three times, so be prepared to be annoyed, or maybe it was just us who knows (i'm 31?).
",3,2/18/2015,"Columbia, MD",False,False
83,ENO Wine Bar,/user_details?userid=yldGKWOb_miMQV7sFpKMjw,"I've been here twice so far. The atmosphere is fabulous. It's really calming and a great place for a girls'/ boys' night or a date. The servers were very cordial. However, I ordered a grilled cheese, and it was so buttery that I couldn't finish it. In addition, after we split the bill one of the payers was overcharged.
",3,1/27/2014,"New Haven, CT",False,False
100,ENO Wine Bar,/user_details?userid=f2Vix42QaRHL02Rj6q7KQQ,"Went here for the first time tonight with my husband.  Ordered the Eno Experience so we could try some cheese, meats and chocolates.  Wine, food and service was great initially. However when we ordered a second plate of the same thing and I, another glass of wine the service somehow went downhill a little.  The second plate and glass of wine took 15 minutes to come.  We were outside but it was not very busy inside.  We had to rush through our second plate and I realized after we paid and left that we never got our chocolates!  What a disappointment.  We may return but I'd make sure we get our full order before we leave since the waitress was not watching out for us as we'd hope.
",3,5/23/2015,"Arlington, VA",False,True
102,ENO Wine Bar,/user_details?userid=MkW4-9RAh2zrm-rvU-i7Hw,"Loved the atmosphere, the set up, and the wine but doesn't seem to be too well run. First with the good: Great cozy feeling that you want in a wine bar. Our waiter was helpful, knowledgeable, and friendly. We all got flights and everyone enjoyed theirs - I would say they are priced well. We also got the smoked almonds and the truffle mac & cheese to share - which were both divine! Now with the not so good: they are not open until 4PM on Saturdays - that's strange! When I called to get a reservation earlier that day, they said they were fully booked - but we could sit at the bar. That's fine, but we had 3 people and there were only 2 chairs and only as we looked like we might be leaving did someone offer up that we could have a table as long as we were gone by 6:30. Given that it was 4PM, that was obviously fine. After sitting down, we realized all the tables around us were reserved for 6:30 or 7PM. When people started coming in, they were directed to a lower level space, which we were never told about. I enjoyed our visit and may be back, but definitely feel like they have some kinks to work out in their operations.
",3,2/19/2015,"Raleigh, NC",False,False
103,ENO Wine Bar,/user_details?userid=xVuXPljZRPk90K30A8kupg,"The happy hour only offers 1 type of red or white wine. Good selection but compared to other wine bars in the georgetown/glover park area, our glasses were barely filled.
",3,9/11/2015,"Washington, DC",False,True
104,ENO Wine Bar,/user_details?userid=_m5Y25JU4sX-vGHSQArdRw,"Pros: Outdoor seating. Posh atmosphere. Ideal Happy Hour location.

Cons: Minimal food menu to pair with wine list.
",3,5/26/2014,"Washington, DC",False,True
108,ENO Wine Bar,/user_details?userid=UrkD6iinGp26KvsWi8c7pQ,"The flights of wine are a unique idea and they're decent pours, much more than a tasting. The staff is attentive and the atmosphere is nice and warm. A very cool place to start before a romantic dinner or night out.
",3,1/15/2014,"Arlington, VA",True,True
